c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,Application
0.99384375,0.993,1.01,0.988,0.993,1,0.019626368,0.019703486,0.000388227,-0.26753125,-0.268,-0.273,-0.273,-0.268,-0.26025,0.009868619,0.009907396,9.82E-05,0.138714062,0.144,0.123,0.125,0.144,0.152,0.019904914,0.019983126,0.000399325,0.152274922,0.1255,0.242,0.080025,0.1255,0.22475,0.103088672,0.103493737,0.010710954,-0.007866922,-0.04615,-0.108,-0.089325,-0.04615,0.021025,0.142171291,0.142729923,0.020371831,0.045716406,0.0473,0.0251,0.026175,0.0473,0.063225,0.030696066,0.030816679,0.000949668,Facebook
0.993382812,0.994,0.994,0.99,0.994,0.996,0.009643749,0.009681642,9.37E-05,-0.268695313,-0.269,-0.266,-0.273,-0.269,-0.265,0.00609118,0.006115114,3.74E-05,0.140882813,0.1395,0.134,0.131,0.1395,0.151,0.013241519,0.013293549,0.000176718,0.026932656,-0.00552,0.101,-0.030075,-0.00552,0.083325,0.066225627,0.066485846,0.004420368,-0.050991141,-0.0517,-0.108,-0.085625,-0.0517,-0.0381,0.055657749,0.055876444,0.003122177,0.041765625,0.03665,0.0254,0.02725,0.03665,0.055,0.017819172,0.017889188,0.000320023,Whatsapp
0.99290625,0.993,0.993,0.99,0.993,0.995,0.00310855,0.003120765,9.74E-06,-0.273804688,-0.273,-0.28,-0.28,-0.273,-0.268,0.007333632,0.007362448,5.42E-05,0.134773437,0.134,0.134,0.13,0.134,0.13975,0.008659546,0.008693572,7.56E-05,-0.021180234,-0.0243,-0.0354,-0.037775,-0.0243,-0.00992,0.025121093,0.025219801,0.000636038,-0.041505469,-0.04465,-0.0413,-0.0527,-0.04465,-0.0343,0.018388344,0.018460597,0.000340794,0.030026406,0.0288,0.0257,0.019325,0.0288,0.0398,0.013930148,0.013984883,0.000195577,Whatsapp
0.991140625,0.991,0.993,0.989,0.991,0.993,0.003084068,0.003096186,9.59E-06,-0.283078125,-0.284,-0.284,-0.29,-0.284,-0.27725,0.008145752,0.008177759,6.69E-05,0.131851563,0.132,0.133,0.126,0.132,0.138,0.009114797,0.009150612,8.37E-05,-0.029875469,-0.0354,-0.0354,-0.0524,-0.0354,-0.018975,0.029629703,0.029746127,0.000884832,-0.023330375,-0.01845,-0.018,-0.04015,-0.01845,-0.00531,0.020963041,0.021045411,0.000442909,0.014163391,0.0146,0.0266,-0.00459,0.0146,0.0266,0.019916215,0.019994471,0.000399779,Whatsapp
0.99046875,0.99,0.988,0.988,0.99,0.993,0.003397926,0.003411277,1.16E-05,-0.290070313,-0.29,-0.29,-0.293,-0.29,-0.28625,0.005989814,0.006013349,3.62E-05,0.123367188,0.1245,0.129,0.11725,0.1245,0.129,0.007669818,0.007699955,5.93E-05,-0.033328813,-0.0352,-0.039,-0.052325,-0.0352,-0.0163,0.023676186,0.023769217,0.000564976,-0.004686164,-0.002955,-0.0412,-0.01545,-0.002955,0.008595,0.018819653,0.018893601,0.000356968,-0.003398938,-0.00786,0.014,-0.016825,-0.00786,0.0106075,0.017796311,0.017866238,0.000319202,Whatsapp
0.99071875,0.9905,0.989,0.988,0.9905,0.993,0.00324263,0.003255371,1.06E-05,-0.291234375,-0.29,-0.29,-0.296,-0.29,-0.287,0.006325154,0.006350007,4.03E-05,0.120882813,0.12,0.121,0.115,0.12,0.126,0.007159588,0.00718772,5.17E-05,-0.012398758,-0.007835,-0.042,-0.0243,-0.007835,0.001975,0.019146143,0.019221374,0.000369461,0.00339325,0.007685,0.0179,-0.0055925,0.007685,0.01765,0.019953015,0.020031417,0.000401258,-0.006991133,-0.01245,-0.0108,-0.021875,-0.01245,0.00452,0.019808714,0.019886548,0.000395475,Facebook
0.99115625,0.991,0.993,0.989,0.991,0.993,0.002742711,0.002753487,7.58E-06,-0.291703125,-0.292,-0.289,-0.296,-0.292,-0.28725,0.00555422,0.005576045,3.11E-05,0.12225,0.122,0.121,0.118,0.122,0.127,0.00665559,0.006681741,4.46E-05,-0.00536257,-0.003695,-0.042,-0.0084,-0.003695,0.001215,0.010687296,0.01072929,0.000115118,0.004133094,0.00634,0.0271,-0.0054625,0.00634,0.01485,0.014308376,0.014364598,0.000206342,-0.002495602,0.0012065,-0.0165,-0.0095475,0.0012065,0.0069125,0.01532259,0.015382797,0.00023663,Twitter
0.990359375,0.99,0.993,0.988,0.99,0.993,0.002688908,0.002699473,7.29E-06,-0.29646875,-0.298,-0.299,-0.301,-0.298,-0.29225,0.005752632,0.005775236,3.34E-05,0.119039063,0.1185,0.12,0.115,0.1185,0.123,0.00566431,0.005686567,3.23E-05,-0.001232719,-0.000266,-0.00351,-0.0053475,-0.000266,0.0035025,0.006596853,0.006622774,4.39E-05,0.002707008,0.00203,-0.00568,-0.00461,0.00203,0.008925,0.007767641,0.007798163,6.08E-05,0.000346809,0.0003295,0.00441,-0.0028725,0.0003295,0.0047675,0.007079779,0.007107597,5.05E-05,Facebook
0.989164063,0.989,0.989,0.98725,0.989,0.99,0.002321023,0.002330143,5.43E-06,-0.299296875,-0.299,-0.301,-0.302,-0.299,-0.297,0.003601995,0.003616148,1.31E-05,0.116679688,0.116,0.116,0.11325,0.116,0.11975,0.004222214,0.004238804,1.80E-05,0.003414349,0.003545,0.0105,0.00031875,0.003545,0.006635,0.004481288,0.004498896,2.02E-05,0.003451332,0.003075,0.011,-5.17E-05,0.003075,0.0075625,0.005586926,0.005608879,3.15E-05,-0.004116277,-0.00407,-0.00261,-0.0078875,-0.00407,-0.00012725,0.005566408,0.00558828,3.12E-05,Facebook
0.98890625,0.989,0.989,0.988,0.989,0.99,0.001922066,0.001929618,3.72E-06,-0.29559375,-0.2955,-0.296,-0.298,-0.2955,-0.29225,0.004292867,0.004309735,1.86E-05,0.119703125,0.12,0.12,0.11625,0.12,0.123,0.004962924,0.004982425,2.48E-05,0.005376443,0.00579,0.0122,0.0019075,0.00579,0.0084175,0.004822815,0.004841765,2.34E-05,0.002697097,0.003455,0.011,-0.00100325,0.003455,0.00774,0.007009011,0.007036551,4.95E-05,-0.004265984,-0.005725,-0.0112,-0.00864,-0.005725,-0.001055,0.006574725,0.006600559,4.36E-05,Facebook
